title,episodes,released_date,end_date,producer_id,rating,studio
Mushi no Tameiki,OVA,1997-12-28,2016-10-25,6,5.09,Kyoto Animation 
"Nemure Omoi Ko, Sora no Shitone ni",OVA,2004-10-17,2016-12-27,7,6.7,P.A.Works
New Hal &amp  Bons,Movie,1997-09-15,2016-07-12,5,5.02,Magic Bus
Osu,8,2006-06-19,2016-01-04,6,8.26,Studio Hibari
Schick x Evangelion,26,2013-08-27,2016-06-10,18,4.55,Studio Ghibli
Space Travelers The Animation,TV,2000-07-04,2016-09-20,16,3.06,Studio Hibari
Television,3,2012-05-19,2016-01-18,23,2.49,Studio Hibari
"Watashitachi, Luck Logic-bu!",Movie,2009-01-28,2016-06-26,11,7.55,Mushi Production
"Yume kara, Samenai",TV,2002-01-14,2016-10-06,16,1.47,P.A.Works
Glasslip,TV,1997-07-16,2016-06-19,4,8.39,Studio Hibari
Hanaori,OVA,1996-02-17,2016-06-07,4,6.8,Studio Gokumi
Niedola,31,2016-07-21,2016-09-02,29,1.31,Kyoto Animation 
Pi~hyara Kouta,35,2012-09-27,2016-08-12,25,9.81,Studio Gokumi
Tomato ni Natta Otokonoko,OVA,1997-05-07,2016-01-02,1,1.97,Magic Bus
W: Wish Omake,21,2013-11-01,2016-03-26,7,3.21,Studio Ghibli
Adesugata Mahou no Sannin Musume,7,2004-03-23,2016-11-12,8,1.59,Nippon Animation
Choushin Hime Dangaizer 3,TV,2015-11-23,2016-06-01,4,0.31,Imagin 
Cornelis,39,2009-06-11,2016-02-13,27,8.62,Nippon Animation
Dengeki Oshioki Musume Gootaman R: Ai to Kanashimi no Final Battle,OVA,2009-07-22,2016-04-05,20,8.67,Mushi Production
Kamakura,27,2011-10-28,2016-02-09,1,3.13,Studio Live
Oshiri Kajiri Mushi (TV) 2nd Season,36,2016-09-04,2019-05-26,7,3.15,Studio Ghibli
Peeping Life: The Perfect Evolution,Movie,1996-06-17,2016-02-19,6,9.61,P.A.Works
Seishoujo Kantai Virgin Fleet,33,2002-10-07,2016-08-06,11,6.35,P.A.Works
Shigeo wa Handsome,46,1996-08-13,2016-06-24,18,3.86,Mushi Production
Shiroi Michi,TV,2008-03-25,2016-08-11,26,3.43,Mushi Production
Tabi,Movie,2005-10-09,2016-06-10,12,8.13,Pierrot 
The Impression of First Gundam,OVA,2006-11-26,2016-06-17,1,3.26,GoHands
Akai Boushi,Movie,2010-02-28,2016-07-08,27,7.79,Nippon Animation
Elysium,OVA,2000-04-04,2016-12-22,7,4.21,GoHands
Haja Kyosei G Dangaiou,TV,2005-07-05,2016-07-01,27,9.51,P.A.Works
Happy Kappy Recap,TV,2000-11-07,2016-05-24,28,4.64,Studio Live
Hiyoko Gumo,12,2014-02-13,2018-10-04,21,2.23,Anime International Company Inc.
makemagic,Movie,2002-07-13,2016-10-17,2,0.24,Kyoto Animation 
Modern No.2,15,1998-12-26,2016-05-11,5,5.17,Pierrot 
Summer Train!,OVA,2006-09-01,2016-09-12,19,9.65,GoHands
Insomniac,23,2008-04-11,2016-01-02,18,5.38,GoHands
Kämpfer Picture Drama,Movie,2013-08-23,2016-03-09,30,7.31,Pierrot 
Kouryuu no Mimi: Mina no Shou,TV,2002-11-24,2016-01-20,11,3.73,GoHands
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,TV,2003-01-16,2016-03-21,26,4.15,Studio Live
SOS TV Walpurgis Night Fever Episode 0,7,2009-09-11,2016-10-20,30,8.64,Kyoto Animation 
You Shoumei Bijutsukan Line,23,2016-03-11,2021-09-28,16,0.16,Imagin 
Macross Fufonfia Specials,14,2013-03-27,2016-06-07,3,2.07,Kyoto Animation 
Mini-Chara Macross,Movie,2001-11-28,2016-05-19,25,5.05,Nippon Animation
Peeping Life: The Perfect Emotion Special,3,2015-12-19,2018-06-15,10,3.6,Studio Gokumi
Pony Metal U-GAIM Promotion Film,21,2012-05-26,2016-06-03,30,0.45,Studio Gokumi
Saiko Robot Kombock,4,2003-08-05,2016-12-10,25,8.98,Studio Hibari
Samurai Spirits: Haten Gouma no Shou,OVA,2014-01-03,2018-07-04,14,4.72,Magic Bus
Sentou Yousei Shoujo Tasukete! Mave-chan,OVA,2004-05-09,2016-02-12,26,8.35,P.A.Works
The Tales of Rien Village #1: &quot Toilet ni Ittokiya&quot ,16,2001-10-09,2016-09-18,6,0.13,Studio Nue
Tobacco to Hai,Movie,2002-04-20,2016-02-26,20,6.76,Imagin 
Venus Project: Climax,17,2013-06-24,2016-05-06,4,8.84,P.A.Works
Zekkyou Gakkyuu,45,2009-07-16,2016-03-23,11,2.43,Studio Nue
Zonmi-chan: Meat Pie of the Dead,Movie,2003-02-22,2016-04-25,15,1.4,Studio Hibari
Buddy Spirits,43,2000-06-07,2016-10-24,10,0.04,Nippon Animation
Chinka,TV,1999-12-05,2016-03-05,15,9.33,Imagin 
Harbor Light Monogatari: Fashion Lala yori,47,2010-11-09,2016-09-12,1,6.45,Kyoto Animation 
Hikenai Guitar wo Hikundaze,TV,2006-02-12,2016-12-04,23,7.25,Studio Live
Ikeike! Momon-chan Specials,31,1997-11-21,2016-11-27,13,0.24,Nippon Animation
Nora,12,2009-10-09,2016-12-07,12,7.89,Studio Ghibli
Sanjougattai Transformers Go!,TV,1996-05-10,2016-06-24,24,5.51,Kyoto Animation 
Tarou-san no Kisha,21,2013-11-17,2016-11-12,4,2.98,Studio Ghibli
Top wo Nerae 2! Kagaku Kouza,37,1996-12-08,2016-08-02,11,1.77,Studio Nue
Yasashii Lion,23,2000-02-21,2016-06-09,16,1.39,Studio Hibari
Zekkyou Gakkyuu: Tensei,Movie,2013-05-10,2016-03-18,28,8.31,GoHands
Call Me Tonight,35,2001-04-25,2016-03-21,7,5.07,P.A.Works
Charady no Joke na Mainichi,1,1997-05-14,2016-04-14,17,5.95,Studio Ghibli
Hen,43,2003-01-26,2016-05-07,11,5.97,Studio Nue
Inferno Cop: Fact Files,23,1998-10-28,2016-06-02,6,9.24,Studio Gokumi
Itsumademo Tabibito,Movie,2007-12-17,2016-11-14,13,7.0,P.A.Works
Kujira (1952),45,2002-02-02,2016-04-07,8,8.23,Nippon Animation
Kyutai Panic Adventure Returns!,18,2003-02-01,2016-02-23,23,3.69,Magic Bus
Mikan-bune,OVA,2000-03-05,2016-09-17,17,3.07,Mushi Production
Neo Satomi Hakkenden: Satomi-chanchi no Hachi Danshi,OVA,2009-05-15,2016-07-11,12,5.85,Studio Hibari
Oshiri Kajiri Mushi (TV) 3rd Season,6,2015-03-07,2020-10-02,24,5.38,Studio Ghibli
Princess Army: Wedding★Combat,1,2003-10-14,2016-12-23,15,2.52,Magic Bus
Sun Set Sun,29,1998-01-26,2016-07-18,8,4.67,Anime International Company Inc.
Wagamama High Spec,OVA,2015-08-15,2019-02-11,27,3.4,Anime International Company Inc.
3-tsu no Hanashi,OVA,2010-05-10,2016-04-04,8,2.12,Kyoto Animation 
Ame-iro Cocoa in Hawaii,OVA,2002-10-14,2016-10-08,6,5.83,Studio Hibari
Bokura no Hero,10,2013-09-27,2016-06-08,17,0.69,Nippon Animation
Compiler,43,2012-01-28,2017-02-25,6,3.01,GoHands
Diabolik Lovers Recap,21,2010-12-08,2016-01-02,12,9.39,Kyoto Animation 
Eien no Hou,Movie,1997-06-04,2016-10-26,16,1.04,P.A.Works
Explorer Woman Ray,Movie,2004-11-07,2016-06-18,1,5.84,Mushi Production
Onigiri,Movie,2012-05-19,2016-10-25,6,1.99,Studio Gokumi
Ijime: Ikenie no Kyoushitsu,OVA,2001-09-18,2016-12-27,14,3.55,Studio Live
Keitai Shoujo,TV,1999-12-21,2016-09-19,4,0.58,Studio Ghibli
LolitA☆Strawberry in Summer,OVA,2002-05-18,2016-03-28,10,9.43,P.A.Works
Luigi s Toy Adventure,34,2003-12-27,2016-01-19,27,0.12,GoHands
Many Things SD Gundam,38,2012-07-07,2016-11-11,17,5.94,Studio Hibari
Ozmafia!!,OVA,2016-09-23,2018-06-23,29,2.46,Studio Ghibli
Violence Jack: Harlem Bomber-hen,13,2008-01-13,2016-12-20,15,5.06,P.A.Works
Yami no Shihosha Judge,43,2009-04-17,2016-02-27,6,1.48,Mushi Production
Zettai Junpaku♡Mahou Shoujo,30,1999-02-05,2016-01-19,13,0.61,Kyoto Animation 
Daimajuu Gekitou: Hagane no Oni,42,2012-06-02,2016-01-14,5,6.18,Studio Ghibli
Dangobei Torimonochou: Hirake - Goma no Maki,TV,1997-06-04,2016-01-06,16,7.24,Kyoto Animation 
Happy Weekend,6,2011-10-21,2016-05-09,30,5.82,GoHands
Kangaroo no Tanjoubi,10,2007-10-12,2016-05-25,2,3.07,Imagin 
Kumo ga Haretara,8,2007-07-09,2016-05-04,29,4.71,Magic Bus
Lightning Trap: Leina &amp  Laika,10,2005-03-24,2016-03-09,23,8.66,Studio Nue
Master of Torque 2,41,2002-08-25,2016-01-15,15,1.32,Anime International Company Inc.
Military! Special,TV,2012-08-26,2017-06-13,1,9.95,GoHands
Mushiba Tetsudou,46,2015-03-14,2017-03-04,6,1.47,Imagin 
Mutant Turtles: Choujin Densetsu-hen,25,2000-11-12,2016-06-28,30,7.15,Nippon Animation
Omake,26,2004-01-03,2016-10-22,15,4.16,Studio Nue
Saru Masamune,OVA,1996-05-19,2016-05-07,15,0.6,Studio Hibari
Swimming,OVA,2004-09-18,2016-06-04,11,5.16,Studio Gokumi
Urawa no Usagi-chan,TV,1997-08-21,2016-09-22,20,7.49,Kyoto Animation 
Ano Ko ni 1000%,Movie,2000-04-17,2016-03-05,11,0.4,P.A.Works
Answer,20,2004-02-28,2016-10-16,4,5.89,Studio Gokumi
Coffee Break,27,2013-08-21,2016-08-25,9,0.92,Nippon Animation
Fuku-chan no Sensuikan,42,2008-12-28,2016-06-13,4,2.37,GoHands
Idol Ace,TV,2007-04-11,2016-07-13,2,8.66,Mushi Production
Juliet,OVA,2009-01-03,2016-05-25,21,5.32,Studio Live
Kigurumikku V3,17,2016-09-01,2017-03-17,8,7.86,Pierrot 
Kitsutsuki Keikaku,TV,2010-09-11,2016-08-24,5,3.0,Pierrot 
Orchestra,10,2016-11-10,2016-03-14,19,0.59,Mushi Production
Recorder,46,2003-10-20,2016-01-02,27,0.1,Studio Gokumi
Shin Tenchi Souzou,14,2010-09-06,2016-07-14,19,0.17,Anime International Company Inc.
Soul Reviver,12,2006-12-28,2016-07-20,25,6.91,Studio Hibari
Zettai Shougeki: Platonic Heart Picture Drama,28,2009-04-08,2016-02-23,11,4.86,GoHands
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue Specials,25,2001-11-11,2016-01-02,21,8.11,Magic Bus
Tarzan,35,1996-11-11,2016-09-21,3,8.91,Imagin 
Toushinden,Movie,2012-07-08,2016-02-12,17,3.5,Anime International Company Inc.
Yakimochi Caprice,33,2000-04-27,2016-08-15,14,0.76,Studio Nue
Balloon,TV,2012-11-25,2016-04-04,16,9.33,P.A.Works
Benkei tai Ushiwaka,46,2013-01-06,2016-06-17,17,4.45,Kyoto Animation 
Digital Devil Story: Megami Tensei,OVA,2009-01-22,2016-10-05,17,1.28,P.A.Works
Netrun-mon the Movie,46,2002-02-28,2016-02-02,15,9.1,Studio Ghibli
Oira no Yakyuu,TV,1999-02-17,2016-06-13,4,0.02,Studio Ghibli
Pacusi,TV,2002-03-25,2016-07-06,7,5.94,Imagin 
Picotopia,TV,2008-01-10,2016-01-06,10,6.36,Studio Nue
Soukihei MD Geist,OVA,2001-02-04,2016-05-22,13,3.36,Studio Ghibli
Toei Robot Girls,TV,2004-06-12,2016-05-27,5,8.42,Studio Gokumi
Ahiru Rikusentai,21,2001-06-26,2016-01-20,20,4.01,Imagin 
Arcade Gamer Fubuki,35,2011-11-21,2016-07-28,8,8.78,Studio Ghibli
Bishoujo Yuugekitai Battle Skipper,Movie,1997-05-25,2016-01-08,20,5.68,Magic Bus
Broots,TV,2011-05-20,2016-06-18,21,0.79,Mushi Production
Cool Cool Bye,TV,2008-07-06,2016-05-09,9,1.54,Studio Ghibli
Genma Taisen: Shinwa Zenya no Shou,Movie,2001-11-08,2016-11-10,10,2.25,Kyoto Animation 
Nandarou,9,2003-03-02,2016-04-14,17,9.17,Pierrot 
Ring of Gundam,2,2001-04-25,2016-01-12,14,9.78,Studio Hibari
Anison Nippon,31,1999-09-03,2016-12-16,18,7.14,GoHands
Chiryokumaru,33,2015-12-04,2018-03-27,15,8.78,Studio Ghibli
Hana to Chou,TV,1996-10-01,2016-07-24,11,9.61,Studio Nue
Henna ABC,TV,2003-04-24,2016-10-22,27,8.86,Nippon Animation
Momotarou: Umi no Shinpei,Movie,1998-06-27,2016-06-21,2,4.33,GoHands
Nana-iro Megane,21,2007-08-19,2016-06-18,22,3.11,Anime International Company Inc.
Nara Shika Monogatari,24,1999-07-28,2016-10-02,6,0.07,Mushi Production
Saboten ga Nikui,Movie,2013-02-26,2016-01-15,6,0.31,Studio Hibari
Taiko no Tatsujin: 15 Shuunenkinen Short Animation,OVA,2013-09-22,2016-06-08,6,9.84,Studio Ghibli
TOTO Green Challenge,46,2006-09-23,2016-10-14,25,4.11,GoHands
Wanna-Be s,OVA,1996-02-01,2016-01-06,12,1.11,Studio Nue
Akiba-chan,26,2005-08-10,2016-06-04,5,0.3,Mushi Production
Carol,OVA,1997-02-25,2016-03-19,3,2.81,Studio Live
Chou Akuukan Bouheki Cheese Napolitan,TV,1997-06-13,2016-09-02,17,7.59,Kyoto Animation 
Devour Dinner,OVA,2008-07-04,2016-08-16,13,2.02,Studio Ghibli
Koisuru Niwatori,OVA,2001-04-18,2016-01-15,10,2.37,Studio Ghibli
Mahou no Chocolate,27,2015-05-01,2019-03-21,16,5.95,Studio Live
Meitantei Gordon,Movie,2010-04-26,2016-05-23,4,4.43,Imagin 
R²: Rise R to the Second Power,OVA,2009-02-08,2016-10-06,9,1.84,P.A.Works
Yuki no Hi no Tayori,Movie,2016-02-01,2016-09-17,18,8.63,Anime International Company Inc.
A.LI.CE,38,2011-01-25,2016-10-26,18,4.36,Nippon Animation
Ai wa KAT-TUN,37,2016-04-25,2017-11-19,20,3.96,P.A.Works
Black Ocean,40,2016-04-03,2019-12-06,7,7.0,Studio Gokumi
Chou no Sainan,Movie,2008-02-01,2016-03-14,24,4.01,Studio Gokumi
Komachi to Dangorou,24,2006-10-20,2016-09-10,29,5.82,Studio Hibari
Kremlin,TV,2014-07-24,2016-05-26,15,5.9,Anime International Company Inc.
Oppai ga Ippai,OVA,2015-09-28,2016-05-23,9,8.96,Magic Bus
Pacusi no Uta,27,2008-08-26,2016-08-05,11,3.97,Imagin 
Peeping Life: The Perfect Evolution Specials,22,2015-06-06,2019-08-13,12,1.46,Studio Live
Space Neko Theater,42,2001-09-11,2016-07-26,17,0.72,Pierrot 
Tanu no Magical Holiday,40,1996-07-05,2016-11-20,29,5.32,Studio Gokumi
Urawa no Usagi-chan Special,1,2002-08-12,2016-07-12,1,0.36,Studio Ghibli
Youkoso Uchuujin,TV,1999-11-20,2016-02-28,2,1.2,Studio Hibari
Dengeki Oshioki Musume Gootaman: Gootaman Tanjou-hen,22,2016-11-28,2019-12-23,18,0.86,Kyoto Animation 
Fukashigi no Kazoekata,Movie,2003-03-25,2016-08-23,8,3.46,GoHands
Futon,OVA,1998-03-10,2016-09-24,10,3.28,P.A.Works
Green Dakara x Bakemono no Ko,17,1999-05-23,2016-09-08,27,5.11,Studio Live
Hone Hone Rock,14,2005-06-24,2016-05-27,8,0.76,Nippon Animation
Jikuu Bouken Nuumamonjaa,7,1999-05-06,2016-09-03,7,7.1,Kyoto Animation 
Love Gift,3,2012-02-12,2016-12-25,7,1.27,Studio Hibari
Maze,Movie,2016-04-06,2018-02-27,30,0.36,Studio Gokumi
Mirakururun Grand Purin!,OVA,2007-06-16,2016-02-18,7,5.65,Studio Hibari
Nekketsu Uchuujin,42,2010-03-23,2016-04-19,19,0.4,Nippon Animation
Seijuuki Cyguard,7,1998-05-03,2016-04-04,24,7.41,GoHands
Shinpi no Hou,28,2006-06-27,2016-09-22,27,4.16,GoHands
Suisei,TV,2013-05-02,2018-07-03,22,5.5,Studio Live
Tori,9,1997-03-24,2016-01-09,20,4.07,Studio Live
Ai Tenchi Muyou! Recaps,33,2011-02-28,2016-11-16,18,9.08,P.A.Works
Hanasaka Jijii,Movie,1998-01-28,2016-09-19,7,4.34,Studio Ghibli
Hane,OVA,2008-07-17,2016-02-09,8,9.04,Mushi Production
Karo to Piyobupt: Ame no Hi,29,1998-11-12,2016-06-06,6,8.47,Magic Bus
Kurayami Santa,OVA,2001-02-15,2016-08-19,23,0.88,Studio Gokumi
Litchi DE Hikari Club,12,2000-04-22,2016-10-17,29,8.35,Magic Bus
Mahoutsukai Nara Miso wo Kue!,13,2016-02-22,2017-09-15,20,3.89,Imagin 
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,47,1997-11-09,2016-04-22,4,7.76,Studio Live
Ni-hiki no Sanma (1968),Movie,2013-06-06,2016-06-20,20,4.04,Mushi Production
Wamono,Movie,2008-03-02,2016-03-11,6,4.49,Studio Ghibli
Donna Donna,Movie,2006-04-17,2016-03-18,27,2.31,Imagin 
Enkinhou no Hako: Hakase no Sagashimono,34,2016-08-13,2017-12-03,29,9.35,Pierrot 
Oshiri Kajiri Mushi (TV),Movie,2013-11-24,2016-09-03,25,6.69,Mushi Production
Shiawasette Naani,15,2003-02-21,2016-08-20,24,0.89,Anime International Company Inc.
Tatamp,OVA,2000-02-01,2016-11-20,25,2.43,Studio Live
Tekken,25,1999-07-12,2016-12-11,23,7.77,Studio Live
Tenpou Suikoden Neo,TV,2001-02-12,2016-07-21,12,3.17,Studio Gokumi
Yami no Purple Eye,12,2006-12-08,2016-01-24,10,7.36,Magic Bus
20-dai no Heya-hen,40,2013-08-24,2017-10-15,19,0.49,Imagin 
2010,TV,2009-08-20,2016-11-20,11,7.62,Studio Hibari
Azure Nihon Data Center,0,2012-02-03,2016-08-07,6,0.43,Studio Nue
Bikini Warriors,33,2005-12-08,2016-02-27,11,4.11,Kyoto Animation 
Eat You Up/Bunny,43,2015-09-24,2016-09-08,21,1.86,Magic Bus
Makai Tenshou,TV,2009-01-25,2016-06-22,28,5.96,Studio Nue
Suzume no Oyado,Movie,2010-06-17,2016-06-24,23,1.59,Studio Hibari
Tentoumushi no Otomurai,OVA,2000-06-09,2016-04-02,30,5.38,Pierrot 
UFO Gakuen no Himitsu,OVA,2001-03-17,2016-10-24,8,2.69,P.A.Works
Animegatari x Ghost in the Shell Collab Eizou,16,2004-11-15,2016-09-19,19,7.91,Studio Hibari
Aoi Chou,OVA,2010-09-16,2016-05-28,8,5.94,Studio Live
Ari-chan,OVA,2000-06-05,2016-11-05,9,5.59,Magic Bus
Ark IX,TV,2003-10-03,2016-06-21,26,3.8,P.A.Works
Hon Ran,TV,2005-04-21,2016-05-06,21,1.48,Kyoto Animation 
Hyper-Psychic Geo Garaga,OVA,1997-02-11,2016-08-24,24,8.63,Kyoto Animation 
Kowabon,OVA,2014-03-02,2018-05-04,27,9.88,Imagin 
Peeping Life: Shinkon-chan Kansai ni Irasshai,43,2016-04-22,2020-03-26,8,1.64,Kyoto Animation 
Doamaiger D,13,2001-09-25,2016-04-03,17,6.06,P.A.Works
Gulliver Funtouki,10,1999-11-06,2016-12-13,29,9.86,Anime International Company Inc.
Kogane no Hana,TV,1997-03-06,2016-05-27,29,1.91,Anime International Company Inc.
Run=Dim,TV,2011-05-15,2016-01-02,15,7.79,Kyoto Animation 
Scared Rider Xechs,36,2003-09-09,2016-09-16,18,2.44,Studio Hibari
Spectral Force Chronicle Divergence,TV,2014-06-18,2016-07-03,17,2.36,Pierrot 
Cabbage UFO,TV,2002-09-19,2016-10-28,7,0.96,Studio Hibari
Fight!!,35,2012-03-21,2016-07-06,13,5.8,Mushi Production
Idol Memories,29,2015-05-09,2016-01-06,24,7.97,P.A.Works
Izakaya no Ichiya,TV,2008-04-14,2016-10-04,23,2.73,Studio Hibari
New York Trip,Movie,2007-11-12,2016-06-21,12,7.95,Mushi Production
Oira no Ski,TV,2002-10-06,2016-08-02,2,3.29,P.A.Works
Afro-Ken,TV,2005-01-19,2016-03-04,26,3.1,P.A.Works
Hana no Hanashi,23,1997-02-16,2016-10-09,17,9.76,Studio Live
Makura no Danshi: Sono Ato no Makura no Danshi,Movie,2012-11-06,2016-03-26,25,0.85,Studio Hibari
Roba Chotto Suneta,10,2013-03-19,2016-04-17,21,5.06,Imagin 
Ryokunohara Meikyuu,42,2003-06-18,2016-01-05,25,1.89,Studio Gokumi
Sougiya to Inu,36,1997-05-28,2016-01-18,3,5.37,P.A.Works
Yellow,OVA,1998-03-06,2016-03-23,22,3.88,Magic Bus
Dragon Fist,Movie,2001-08-21,2016-08-22,22,4.49,Pierrot 
Hantsu x Trash,4,2002-08-17,2016-12-03,2,6.42,Studio Nue
Tokyo Daigaku Monogatari,Movie,2001-04-21,2016-07-10,7,7.4,Mushi Production
Tora-chan no Kankan Mushi,OVA,2002-02-27,2016-10-11,22,3.81,Studio Nue
Deva Zan,13,1999-08-11,2016-06-20,11,7.71,GoHands
Ghost,Movie,2000-07-09,2016-07-13,2,8.04,Imagin 
Hal &amp  Bons,25,2013-06-01,2016-12-27,18,4.37,Nippon Animation
Jubilee,Movie,2001-04-19,2016-06-18,1,1.7,Studio Live
Kimi wa Sou Kimeta,10,2016-05-12,2017-11-15,11,9.34,Studio Live
Kitakaze Kozou no Kantarou,7,2016-10-07,2019-02-04,5,3.26,Studio Nue
Makyuu Senjou,25,2009-11-07,2016-04-16,19,7.68,Kyoto Animation 
Promised Town,OVA,2008-01-10,2016-02-09,23,1.49,Imagin 
Speed,TV,2011-06-25,2016-06-11,24,1.92,Studio Live
Tensai Banpaku Opening,36,1997-02-03,2016-03-06,30,1.08,Studio Ghibli
Time Bokan 24,OVA,2004-10-25,2016-09-02,14,8.26,Studio Gokumi
Umo,17,1996-11-01,2016-08-21,18,6.73,Kyoto Animation 
Utsukushii Hoshi,26,2014-09-02,2016-11-26,3,5.14,Studio Hibari
Aoki Honoo,TV,2001-05-20,2016-05-04,25,0.97,Kyoto Animation 
Chainsaw Maid,32,2010-07-27,2016-01-21,9,2.22,Studio Gokumi
Fuyu no Yoru no Ohanashi,Movie,2010-02-15,2016-08-21,2,3.17,Studio Hibari
Kakegae no,OVA,1998-01-09,2016-03-17,30,4.24,Studio Ghibli
Karo to Piyobupt: Sandwich,OVA,2009-07-25,2016-10-10,27,2.77,Anime International Company Inc.
Kiseki,OVA,2010-10-21,2016-07-13,3,0.2,P.A.Works
Mogura no Adventure,OVA,2014-08-13,2019-02-16,11,0.39,Pierrot 
Prism Magical: Prism Generations!,Movie,2005-11-07,2016-05-01,10,1.72,Studio Ghibli
Sin: The Movie,40,2007-07-27,2016-12-13,29,1.92,Studio Gokumi
Tenbatsu Angel Rabbie☆,28,2004-02-23,2016-08-05,28,3.36,Studio Nue
Akaoni to Aooni no Tango,6,2008-03-11,2016-12-03,22,4.32,Studio Gokumi
Hanare Toride no Yonna,OVA,2000-12-23,2016-05-05,2,1.76,Pierrot 
JaJa Uma! Quartet,Movie,2015-07-07,2019-12-14,27,5.49,Mushi Production
Kiekaketa Monogataritachi no Tame ni,Movie,2000-12-27,2016-05-20,17,2.54,Studio Ghibli
"Lies, Lies.",0,2005-09-23,2016-11-07,18,2.55,Studio Gokumi
Mormorando,25,1998-08-20,2016-03-25,12,9.57,Anime International Company Inc.
Odin: Koushi Hansen Starlight,Movie,2016-08-28,2020-10-21,8,9.24,Studio Hibari
Poker,42,2013-06-27,2016-07-18,29,7.91,Anime International Company Inc.
Potecco Babies,TV,2015-02-28,2017-05-23,7,5.13,Nippon Animation
Saishuu Shiken Kujira,OVA,2009-03-26,2016-10-25,25,8.95,Studio Hibari
Sora no Momotarou,Movie,2015-03-03,2017-03-21,8,4.13,Studio Live
TANK S.W.A.T. 01,TV,2015-02-19,2018-06-04,12,5.21,P.A.Works
The New A-Class.: Next Stage with YOU,Movie,2000-12-28,2016-12-20,11,7.25,P.A.Works
Tobacco wa Dasai,TV,2006-08-09,2016-01-06,23,2.64,GoHands
Asylum Session,OVA,2001-05-20,2016-12-20,17,2.69,Anime International Company Inc.
Houkago no Pleiades: Manner Movie,34,2008-06-09,2016-02-13,18,5.12,Mushi Production
Karo to Piyobupt: Ouchi,OVA,2010-12-08,2016-10-16,12,9.49,GoHands
Kitsune to Circus,OVA,2008-02-07,2016-01-10,15,5.27,Imagin 
Master of Torque,TV,1997-12-15,2016-05-09,17,1.71,Mushi Production
Onaka no Ookina Ouji-sama,TV,2007-06-12,2016-11-22,25,1.72,Studio Nue
Psychedelic Afternoon,OVA,2000-06-07,2016-01-04,9,5.25,Pierrot 
Sleepy,Movie,2009-05-02,2016-09-14,17,9.3,Nippon Animation
Yume,TV,2016-01-08,2020-12-20,7,1.88,Nippon Animation
1+2=Paradise,0,2006-03-10,2016-07-11,9,9.64,Nippon Animation
Doubutsu Tonarigumi,26,2014-02-05,2016-10-21,15,1.52,P.A.Works
Estima: Sense of Wonder,TV,2010-07-11,2016-04-22,21,0.8,Nippon Animation
Numa no Taishou,45,2015-08-28,2017-03-16,14,4.56,Mushi Production
One: Kagayaku Kisetsu e,17,1996-12-04,2016-05-03,2,1.62,GoHands
The Baby Birds of Norman McLaren,13,1999-04-14,2016-03-22,10,2.85,Magic Bus
Choujin Gakuen Gowcaizer: The Voltage Fighters,TV,2007-03-12,2016-07-27,11,4.68,Magic Bus
Goro-chan,43,1999-04-19,2016-07-01,20,7.41,Studio Live
Higenashi Gogejabaru,Movie,2013-11-18,2016-03-11,23,1.9,Magic Bus
Highway Jenny,37,2007-01-03,2016-10-05,8,5.98,Studio Gokumi
Ishindenshin Shiyou,26,2001-10-20,2016-11-23,16,0.65,Magic Bus
Kago Shintarou Anime Sakuhin Shuu,TV,1997-05-27,2016-03-26,6,1.82,Kyoto Animation 
Kakumeiteki Broadway Shugisha Doumei,OVA,2015-06-28,2018-06-08,16,4.3,Studio Hibari
Norakuro Nitouhei: Enshuu no Maki,26,2011-04-07,2016-11-13,11,6.8,Studio Gokumi
Shinsetsu Kachikachi Yama,TV,2002-03-28,2016-10-23,3,1.56,Studio Ghibli
Columbos,OVA,2003-05-20,2016-10-05,9,3.78,Studio Nue
Dagram vs. Round-Facer,TV,2006-05-25,2016-05-23,24,8.17,Mushi Production
Heybot!,14,2005-07-04,2016-09-12,18,0.74,Studio Hibari
Kaeru San Yuushi,22,2008-01-13,2016-06-14,24,1.34,Studio Nue
Kyutai Panic Adventure!,OVA,2014-10-02,2016-05-08,19,6.18,Studio Nue
Nisou no Kuzu,Movie,2006-10-19,2016-12-14,2,0.52,Studio Gokumi
Owari no Chronicle,TV,2001-09-17,2016-11-08,4,3.61,Nippon Animation
Sankou to Tako: Hyakumanryou Chinsoudou,29,2008-01-21,2016-08-05,20,1.46,Pierrot 
Sin in the Rain,Movie,1999-09-11,2016-10-09,2,0.26,Nippon Animation
The Harmonic Gleam Vibration,6,2000-10-20,2016-07-27,23,2.82,Nippon Animation
Urmă (Zanzou),TV,2007-07-19,2016-12-26,14,5.22,Studio Live
00:08,4,1996-06-19,2016-02-15,25,7.09,Nippon Animation
Agukaru,7,2011-07-01,2016-05-12,17,6.2,Magic Bus
Beppu x Peeping Life,34,2012-02-14,2017-02-28,8,0.44,Studio Nue
First Kiss Monogatari,31,1999-11-01,2016-10-23,25,7.04,Studio Nue
Henna Omamesan,TV,2011-01-16,2016-05-26,3,8.92,Studio Gokumi
Kawaii Cook-san,Movie,2014-01-15,2016-04-17,29,2.71,Imagin 
Koro wa Yane no Ue,TV,1996-04-22,2016-04-17,24,3.63,GoHands
